lat,lon,count
42.84,-97.939,198
42.84,-97.907,7
42.841,-97.16,54
42.844,-97.904,29
42.844,-97.897,10
42.844,-97.894,19
42.844,-97.893,29
42.846,-96.795,7
42.847,-97.446,14
42.848,-97.444,6
42.848,-96.795,9
42.85,-97.9,6
42.85,-97.398,6
42.85,-96.959,11
42.85,-96.795,12
42.851,-98.021,35
42.851,-96.796,9
42.853,-97.904,188
42.854,-97.893,7
42.854,-97.892,19
42.854,-96.795,8
42.855,-97.897,7
42.855,-97.889,19
42.857,-97.891,24
42.858,-97.894,44
42.858,-96.795,12
42.86,-97.901,10
42.862,-97.542,10
42.862,-97.541,45
42.862,-97.455,9
42.864,-96.796,7
42.867,-97.546,8
42.867,-96.795,19
42.869,-97.46,17
42.869,-97.394,16
42.869,-97.392,9
42.87,-97.395,6
42.87,-97.386,293
42.87,-97.383,9
42.87,-97.362,32
42.871,-97.405,8
42.871,-97.397,692
42.871,-97.39,7
42.871,-96.795,14
42.872,-97.41,34
42.872,-97.396,8
42.873,-97.389,9
42.876,-97.434,18
42.876,-97.408,18
42.876,-97.407,6
42.876,-97.393,25
42.876,-97.389,43
42.876,-97.386,29
42.876,-96.795,11
42.877,-97.506,16
42.877,-97.452,34
42.877,-97.451,18
42.877,-97.45,15
42.877,-97.365,73
42.877,-96.795,11
42.878,-97.408,11
42.878,-97.382,45
42.878,-97.365,13
42.879,-97.396,8
42.88,-97.491,89
42.88,-97.413,6
42.88,-97.354,7
42.88,-97.353,11
42.881,-97.492,158
42.881,-97.396,6
42.881,-97.376,101
42.881,-97.375,6
42.881,-96.795,9
42.882,-97.398,6
42.882,-97.396,16
42.882,-97.39,418
42.882,-97.337,59
42.882,-97.168,12
42.882,-96.795,7
42.883,-97.406,12
42.883,-97.405,6
42.883,-97.396,10
42.883,-97.386,11
42.883,-97.376,11
42.885,-97.427,29
42.885,-97.409,6
42.885,-97.396,15
42.885,-96.795,10
42.886,-97.5,15
42.886,-97.405,14
42.886,-97.376,36
42.886,-97.361,14
42.887,-97.407,6
42.888,-97.893,24
42.888,-97.384,101
42.889,-97.41,6
42.889,-97.401,12
42.89,-97.398,6
42.89,-97.395,8
42.89,-97.39,8
42.89,-97.383,125
42.89,-97.379,16
42.89,-97.32,19
42.89,-97.319,178
42.89,-96.795,6
42.891,-97.411,15
42.892,-97.397,6
42.892,-96.795,7
42.893,-97.397,11
42.893,-97.396,18
42.893,-97.389,31
42.894,-97.397,21
42.894,-97.396,8
42.895,-97.396,9
42.895,-97.395,7
42.896,-97.398,7
42.896,-97.395,7
42.897,-97.397,18
42.897,-97.396,149
42.897,-97.381,38
42.898,-97.398,25
42.898,-97.397,17
42.899,-97.432,24
42.899,-97.425,34
42.899,-97.409,17
42.899,-97.398,21
42.899,-97.397,7
42.899,-97.354,6
42.9,-97.398,44
42.9,-97.392,6
42.901,-97.398,56
42.901,-97.397,7
42.903,-97.412,8
42.905,-97.388,128
42.906,-97.418,6
42.906,-97.413,6
42.906,-97.412,31
42.906,-97.406,20
42.906,-97.405,17
42.907,-97.401,8
42.907,-97.4,10
42.907,-97.398,6
42.908,-97.645,8
42.908,-97.639,8
42.908,-97.59,16
42.908,-97.58,10
42.908,-97.399,13
42.908,-97.398,35
42.908,-96.795,6
42.909,-97.459,113
42.91,-97.535,9
42.91,-97.459,43
42.912,-97.334,32
42.913,-97.654,6
42.918,-97.397,10
42.922,-96.795,7
42.924,-96.794,11
42.925,-98.391,8
42.926,-96.794,8
42.93,-96.795,6
42.933,-96.795,8
42.935,-96.795,7
42.939,-97.39,9
42.942,-97.399,13
42.947,-97.658,488
42.948,-97.668,6
42.953,-97.691,6
42.953,-96.794,7
42.955,-96.795,8
42.955,-96.794,6
42.956,-96.794,8
42.957,-96.795,12
42.96,-97.329,56
42.96,-96.794,6
42.962,-96.794,6
42.963,-96.794,13
42.964,-96.885,15
42.965,-96.826,75
42.967,-97.2,8
42.967,-96.796,22
42.981,-97.516,50
42.981,-96.795,7
42.982,-97.863,9
42.983,-96.795,16
42.984,-96.795,11
42.985,-97.857,6
42.987,-97.87,20
42.988,-96.795,7
42.989,-98.069,28
42.99,-98.069,84
42.991,-97.867,12
42.992,-96.795,6
42.993,-97.862,13
42.995,-97.863,24
42.996,-97.971,6
42.998,-98.061,8
42.999,-98.9,24
42.999,-96.795,18
43,-98.9,586
43,-98.7,12
43,-98.2,61
43.001,-98.061,56
43.001,-98.058,10
43.002,-96.795,15
43.004,-103.228,16
43.006,-96.795,10
43.007,-98.054,85
43.008,-98.054,39
43.009,-98.858,6
43.009,-96.795,9
43.01,-98.882,25
43.01,-98.881,7
43.011,-99.985,37
43.011,-99.984,45
43.011,-98.061,34
43.011,-98.058,53
43.012,-98.71,11
43.013,-102.541,6
43.014,-102.549,12
43.014,-102.462,9
43.014,-98.711,30
43.015,-99.296,6
43.016,-98.885,9
43.016,-98.057,10
43.016,-96.795,7
43.019,-102.555,7
43.02,-96.795,6
43.021,-96.795,9
43.021,-96.629,10
43.022,-96.795,6
43.023,-96.631,17
43.023,-96.63,7
43.024,-102.556,6
43.024,-96.795,7
43.024,-96.632,6
43.024,-96.631,171
43.025,-102.556,19
43.025,-102.554,30
43.025,-102.552,7
43.025,-98.903,15
43.026,-102.517,22
43.027,-102.547,26
43.027,-102.546,12
43.027,-96.795,32
43.028,-102.526,6
43.028,-101.488,7
43.028,-98.888,8
43.028,-98.885,13
43.028,-96.628,7
43.03,-102.563,69
43.03,-102.547,680
43.03,-102.54,86
43.03,-97.398,7
43.031,-101.702,6
43.031,-98.884,18
43.033,-102.454,43
43.034,-99.296,38
43.034,-99.295,6
43.034,-96.795,7
43.035,-102.518,46
43.036,-98.187,7
43.036,-98.024,53
43.037,-97.6,26
43.037,-96.795,9
43.038,-102.464,51
43.038,-101.407,6
43.038,-98.948,6
43.038,-98.66,10
43.039,-98.903,8
43.039,-96.795,11
43.039,-96.791,18
43.04,-102.455,7
43.04,-98.902,43
43.04,-98.581,13
43.041,-98.187,15
43.041,-98.186,25
43.041,-98.185,168
43.041,-96.795,9
43.042,-98.187,65
43.042,-98.186,59
43.043,-96.795,11
43.044,-96.795,6
43.045,-96.795,9
43.046,-102.349,6
43.046,-96.795,11
43.048,-96.795,9
43.049,-102.564,15
43.049,-96.795,7
43.05,-96.795,9
43.053,-101.702,6
43.054,-96.795,9
43.055,-98.911,6
43.058,-102.202,12
43.059,-102.58,58
43.059,-98.172,8
43.059,-97.589,52
43.06,-102.579,144
43.06,-98.555,17
43.06,-97.59,73
43.063,-98.555,73
43.063,-98.554,57
43.064,-98.554,30
43.064,-97.282,12
43.066,-98.957,12
43.067,-98.548,9
43.067,-98.534,7
43.068,-98.548,7
43.069,-98.537,38
43.07,-98.53,27
43.07,-98.269,12
43.072,-98.945,56
43.072,-97.143,6
43.073,-98.944,62
43.073,-98.549,24
43.073,-98.539,18
43.073,-98.521,15
43.074,-98.944,149
43.075,-98.944,6
43.075,-96.788,81
43.076,-98.571,11
43.076,-98.298,10
43.076,-98.297,46
43.076,-98.287,16
43.076,-96.788,6
43.077,-98.946,13
43.077,-98.945,7
43.077,-98.292,19
43.077,-98.288,14
43.077,-98.287,35
43.077,-97.146,108
43.078,-99.073,9
43.078,-98.943,31
43.078,-98.282,427
43.078,-96.795,6
43.079,-99.021,7
43.079,-98.546,9
43.079,-98.305,12
43.079,-98.301,44
43.079,-97.398,13
43.08,-98.57,22
43.08,-98.294,29
43.08,-98.291,11
43.08,-98.285,6
43.08,-96.796,8
43.08,-96.789,7
43.08,-96.774,7
43.081,-98.994,7
43.081,-98.571,8
43.081,-98.57,171
43.081,-98.556,7
43.081,-98.374,16
43.081,-98.333,7
43.081,-98.301,9
43.081,-98.299,51
43.081,-98.294,8
43.081,-98.286,8
43.081,-97.156,13
43.081,-96.795,6
43.082,-98.565,20
43.082,-98.475,11
43.082,-98.416,15
43.082,-98.305,45
43.082,-98.288,10
43.082,-98.287,15
43.082,-98.284,61
43.082,-98.173,7
43.082,-98.158,18
43.082,-98.133,6
43.082,-98.128,6
43.082,-98.127,8
43.082,-98.106,18
43.082,-98.072,6
43.082,-97.978,20
43.082,-97.778,20
43.082,-97.751,24
43.082,-97.724,15
43.082,-97.673,18
43.082,-97.593,19
43.082,-97.568,14
43.082,-97.514,13
43.082,-97.488,25
43.082,-97.461,17
43.082,-97.434,16
43.082,-97.399,6
43.082,-97.37,23
43.082,-96.775,6
43.083,-102.591,17
43.083,-98.559,10
43.083,-98.558,19
43.083,-98.557,10
43.083,-98.476,28
43.083,-98.475,41
43.083,-98.288,6
43.083,-97.083,6
43.083,-97.031,7
43.083,-96.994,8
43.083,-96.793,17
43.083,-96.792,22
43.083,-96.791,31
43.083,-96.786,6
43.083,-96.781,7
43.084,-98.564,7
43.084,-98.562,19
43.084,-98.347,21
43.084,-96.872,13
43.084,-96.803,79
43.084,-96.802,30
43.084,-96.792,12
43.084,-96.791,229
43.084,-96.79,12
43.084,-96.788,6
43.084,-96.766,16
43.084,-96.628,8
43.085,-98.565,58
43.085,-98.562,8
43.085,-98.28,41
43.085,-96.79,7
43.085,-96.781,188
43.085,-96.78,287
43.087,-99.101,9
43.087,-99.096,6
43.087,-98.57,7
43.088,-99.096,176
43.088,-98.577,7
43.088,-96.796,11
43.089,-96.79,86
43.089,-96.784,6
43.089,-96.782,362
43.09,-102.377,6
43.09,-96.79,214
43.093,-96.768,50
43.094,-96.796,7
43.095,-99.438,10
43.095,-99.425,15
43.096,-96.983,55
43.097,-96.797,6
43.097,-96.796,6
43.098,-96.708,7
43.099,-103.2,7
43.099,-102.899,47
43.099,-101.699,8
43.099,-98.5,6
43.099,-98.099,113
43.099,-97.969,7
43.1,-103.2,32
43.1,-102.9,356
43.1,-102.299,78
43.1,-102.209,166
43.1,-101.799,11
43.1,-101.7,13
43.1,-100.9,6
43.1,-100.7,34
43.1,-99.212,10
43.1,-98.5,33
43.1,-98.099,1209
43.1,-97.4,21
43.1,-96.939,37
43.1,-96.796,9
43.106,-96.796,7
43.109,-100.17,177
43.11,-103.228,8
43.11,-98.56,10
43.11,-96.796,9
43.111,-102.198,26
43.111,-98.56,6
43.112,-102.598,234
43.112,-96.796,14
43.113,-96.796,6
43.114,-96.796,7
43.115,-102.602,1177
43.115,-98.769,6
43.115,-96.961,6
43.116,-101.727,7
43.116,-96.957,28
43.117,-99.189,43
43.117,-96.796,12
43.118,-96.796,7
43.119,-99.193,15
43.119,-99.189,33
43.119,-99.187,49
43.119,-98.62,16
43.119,-97.76,89
43.12,-96.966,60
43.121,-99.181,32
43.121,-97.727,34
43.122,-99.199,20
43.123,-96.962,28
43.124,-101.731,6
43.125,-100.028,6
